,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2007,AK,Final,"320,973","2,114,455","235,367",15.18,"344,695","2,828,386","35,712",12.19,"174,804","1,383,765",704,12.63,0,0,0,,,,,,"840,472","6,326,611","271,783",13.28
2007,AL,Final,"3,056,790","32,783,445","1,434,484",9.32,"1,990,626","22,872,542","254,844",8.70,"1,906,453","36,172,476","6,698",5.27,0,0,0,,.,,,,"6,953,866","91,828,463","1,696,026",7.57
2007,AR,Final,"1,520,508","17,414,563","921,114",8.73,"816,054","11,801,297","127,090",6.91,"936,445","17,839,031","24,072",5.25,0,0,0,,.,,.,,"3,273,008","47,054,890","1,072,276",6.96
2007,AZ,Final,"3,327,589","34,436,659","2,340,299",9.66,"2,519,366","30,475,257","260,788",8.27,"742,585","12,281,292","4,772",6.05,0,0,0,,,,,,"6,589,543","77,193,206","2,605,859",8.54
2007,CA,Final,"12,859,832","89,158,463","12,188,286",14.42,"15,854,396","123,690,309","1,677,848",12.82,"5,045,976","50,538,234","72,018",9.98,"70,984","847,905",506,8.37,,,,,"33,831,188","264,234,911","13,938,657",12.80
2007,CO,Final,"1,631,721","17,634,182","1,661,058",9.25,"1,562,287","20,507,762","278,489",7.62,"782,706","13,112,912","5,757",5.97,"3,181","44,299",1,7.18,,,,,"3,979,896","51,299,156","1,945,305",7.76
2007,CT,Final,"2,555,595","13,372,091","1,427,807",19.11,"2,327,662","15,126,056","145,358",15.39,"702,023","5,433,393","5,062",12.92,"28,017","197,568",2,14.18,,,,,"5,613,298","34,129,107","1,578,229",16.45
2007,DC,Final,"220,247","1,969,562","212,388",11.18,"1,143,378","9,518,790","27,246",12.01,"27,656","296,686",2,9.32,"36,808","325,145",1,11.32,,,,,"1,428,089","12,110,183","239,637",11.79
2007,DE,Final,"588,411","4,469,619","363,603",13.16,"484,245","4,320,738","44,327",11.21,"274,754","3,078,456",294,8.93,0,0,0,,,,,,"1,347,410","11,868,812","408,224",11.35
2007,FL,Final,"13,222,562","117,816,205","6,769,454",11.22,"9,154,115","93,931,301","870,212",9.75,"1,492,400","19,240,995","23,423",7.76,"9,354","96,100",25,9.73,,,,,"23,878,429","231,084,599","7,663,114",10.33
2007,GA,Final,"5,113,632","56,223,368","2,382,367",9.10,"3,790,901","46,997,248","340,555",8.07,"1,883,808","34,054,021","8,367",5.53,"11,506","179,243",1,6.42,,,,,"10,799,850","137,453,878","2,731,290",7.86
2007,HI,Final,"772,069","3,200,724","406,417",24.12,"771,205","3,520,234","61,965",21.91,"710,171","3,864,338",690,18.38,0,0,0,,,,,,"2,253,444","10,585,299","469,071",21.29
2007,IA,Final,"1,328,153","14,060,336","949,612",9.45,"858,697","12,084,354","158,361",7.11,"906,074","19,124,835","3,935",4.74,0,0,0,,,,,,"3,092,922","45,269,523","1,111,908",6.83
2007,ID,Final,"530,333","8,339,432","586,551",6.36,"309,173","6,014,561","88,512",5.14,"364,108","9,401,192","23,603",3.87,0,0,0,,,,,,"1,203,613","23,755,187","698,666",5.07
2007,IL,Final,"4,863,296","48,036,261","4,565,290",10.12,"4,461,531","52,043,236","516,716",8.57,"3,001,349","45,430,300","2,295",6.61,"35,060","545,352",19,6.43,,,,,"12,361,235","146,055,152","5,084,319",8.46
2007,IN,Final,"2,862,276","34,646,056","2,013,230",8.26,"1,805,817","24,767,580","270,685",7.29,"2,444,710","49,987,610","14,290",4.89,"1,909","18,907",1,10.10,,,,,"7,114,711","109,420,151","2,298,207",6.50
2007,KS,Final,"1,131,174","13,806,496","904,611",8.19,"1,056,252","15,474,067","134,321",6.83,"558,244","10,885,413","9,113",5.13,0,0,0,,,,,,"2,745,670","40,165,976","1,048,046",6.84
2007,KY,Final,"2,055,656","28,003,953","1,221,383",7.34,"1,353,535","20,034,522","214,271",6.76,"1,984,095","44,365,626","4,682",4.47,0,0,0,,,,,,"5,393,286","92,404,100","1,440,336",5.84
2007,LA,Final,"2,706,811","28,877,812","1,378,629",9.37,"2,088,782","22,887,200","198,330",9.13,"1,882,740","27,798,817","18,395",6.77,431,"3,105",23,13.88,,,,,"6,678,768","79,566,936","1,595,376",8.39
2007,MA,Final,"3,268,684","20,137,533","2,348,910",16.23,"4,126,964","27,148,238","295,902",15.20,"1,230,910","9,449,995","9,658",13.03,"37,247","403,059",4,9.24,,,,,"8,663,804","57,138,823","2,654,474",15.16
2007,MD,Final,"3,353,161","28,194,802","1,948,623",11.89,"3,553,227","30,691,161","202,537",11.58,"563,023","5,980,358","8,513",9.41,"53,225","524,342",83,10.15,,,,,"7,522,636","65,390,659","2,159,756",11.50
2007,ME,Final,"729,194","4,413,151","748,860",16.52,"542,984","4,195,249","53,636",12.94,"458,669","3,251,801","9,649",14.11,0,0,0,,,,,,"1,730,844","11,860,204","812,144",14.59
2007,MI,Final,"3,611,793","35,366,080","3,889,377",10.21,"3,513,901","40,046,871","467,396",8.77,"2,192,101","33,878,817","11,344",6.47,487,"4,980",1,9.78,,,,,"9,318,280","109,296,748","4,368,118",8.53
2007,MN,Final,"2,078,499","22,645,638","1,610,938",9.18,"1,684,182","22,523,011","196,269",7.48,"1,310,818","23,041,487","4,766",5.69,"1,740","21,046",1,8.27,,,,,"5,075,241","68,231,184","1,811,975",7.44
2007,MO,Final,"2,758,441","35,872,486","1,865,596",7.69,"1,972,802","31,126,107","262,006",6.34,"881,869","18,514,719","8,309",4.76,"1,203","19,537",1,6.16,,,,,"5,614,316","85,532,850","2,135,911",6.56
2007,MS,Final,"1,737,497","18,565,874","743,212",9.36,"1,195,619","13,400,202","131,994",8.92,"931,332","16,187,103","3,759",5.75,0,0,0,,,,,,"3,864,447","48,153,182","878,965",8.03
2007,MT,Final,"398,441","4,541,545","363,546",8.77,"391,257","4,827,723","86,215",8.10,"317,807","6,162,716","1,826",5.16,0,0,0,,,,,,"1,107,506","15,531,985","451,587",7.13
2007,NC,Final,"5,271,039","56,095,471","2,958,129",9.40,"3,477,246","46,806,861","490,377",7.43,"1,583,677","28,978,398","9,054",5.47,0,22,1,0.00,,,,,"10,331,962","131,880,755","3,457,561",7.83
2007,ND,Final,"297,097","4,067,285","274,794",7.30,"277,519","4,214,689","48,732",6.58,"189,729","3,623,721","2,176",5.24,0,0,0,,,,,,"764,346","11,905,696","325,702",6.42
2007,NE,Final,"739,995","9,747,548","578,953",7.59,"600,512","9,396,454","95,348",6.39,"434,830","9,104,398","14,235",4.78,0,0,0,,,,,,"1,775,335","28,248,401","688,535",6.28
2007,NH,Final,"668,468","4,492,871","582,659",14.88,"635,855","4,569,788","99,176",13.91,"266,611","2,173,196","3,151",12.27,0,0,0,,,,,,"1,570,936","11,235,857","684,987",13.98
2007,NJ,Final,"4,206,786","29,751,647","3,330,448",14.14,"5,310,200","40,876,069","458,872",12.99,"1,110,286","11,013,374","13,414",10.08,"32,660","293,245",13,11.14,,,,,"10,659,930","81,934,336","3,802,748",13.01
2007,NM,Final,"582,484","6,387,365","642,668",9.12,"684,593","8,931,612","96,254",7.66,"388,865","6,948,419","3,649",5.60,0,0,0,,,,,,"1,655,947","22,267,393","742,571",7.44
